session_id,project_id,quest_id,user_id,user_sex,user_status,user_age,q_name,q_id,order,dv,starttime,endtime
34034,1,1,31105,female,guest,28.2,current,1,1,1,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,past,2,2,1,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,name,3,3,Ruby,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,good,4,4,7,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,country,5,5,BG,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,text,923,7,"Double syllable names are best for dogs. One syllable like ""max"" does not contain enough notage/sound to engage the proper response. I do not know where borzois orginate...  I assume eastern europe. Dogs can tell our emotions by tone and body language just like we can tell what type of bark they are barking.",2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34034,1,1,31105,female,guest,28.2,good_borzoi,355,6,32,2020-03-16T18:04:15Z,2020-03-16T18:07:42Z
34104,1,1,31164,male,registered,19.4,current,1,1,1,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,past,2,2,1,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,name,3,3,steven,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,good,4,4,6,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,country,5,5,FR,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,text,923,7,dogs are good.,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,time,92823416,8,18:00,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34104,1,1,31164,male,registered,19.4,good_borzoi,355,6,3,2020-03-17T18:01:52Z,2020-03-17T18:02:58Z
34326,1,1,31392,female,guest,17,current,1,1,0,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,past,2,2,0,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,name,3,3,Cat,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,good,4,4,7,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,country,5,5,DZ,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,text,923,7,I LOVE dogs,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,time,92823416,8,08:34,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34326,1,1,31392,female,guest,17,good_borzoi,355,6,99,2020-03-20T07:33:28Z,2020-03-20T07:45:40Z
34343,1,1,31397,male,guest,22,current,1,1,1,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,past,2,2,1,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,name,3,3,Dukee,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,good,4,4,7,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,country,5,5,HU,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,text,923,7,Cool as fuck,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,time,92823416,8,09:26,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34343,1,1,31397,male,guest,22,good_borzoi,355,6,43,2020-03-20T09:25:54Z,2020-03-20T09:27:05Z
34765,1,1,31770,female,guest,44,current,1,1,1,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,past,2,2,1,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,name,3,3,NA,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,good,4,4,4,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,country,5,5,RU,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,text,923,7,"they are single minded, proficient at practising mindfulness and love to have fun, but not much care for ethics of logics.",2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,time,92823416,8,11:59,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34765,1,1,31770,female,guest,44,good_borzoi,355,6,95,2020-03-30T11:58:20Z,2020-03-30T12:00:04Z
34796,1,1,31796,female,guest,35.9,current,1,1,0,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34796,1,1,31796,female,guest,35.9,past,2,2,0,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34796,1,1,31796,female,guest,35.9,name,3,3,Patch,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34796,1,1,31796,female,guest,35.9,good,4,4,7,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34796,1,1,31796,female,guest,35.9,country,5,5,AL,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34796,1,1,31796,female,guest,35.9,text,923,7,Dogs are always happy to see their family,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34796,1,1,31796,female,guest,35.9,time,92823416,8,16:59,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34796,1,1,31796,female,guest,35.9,good_borzoi,355,6,95,2020-04-03T16:58:10Z,2020-04-03T17:00:24Z
34806,1,1,31798,female,guest,35,current,1,1,0,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34806,1,1,31798,female,guest,35,past,2,2,1,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34806,1,1,31798,female,guest,35,name,3,3,Teddy,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34806,1,1,31798,female,guest,35,good,4,4,4,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34806,1,1,31798,female,guest,35,country,5,5,RU,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34806,1,1,31798,female,guest,35,text,923,7,Never had one,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34806,1,1,31798,female,guest,35,time,92823416,8,17:36,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34806,1,1,31798,female,guest,35,good_borzoi,355,6,18,2020-04-03T17:35:50Z,2020-04-03T17:37:48Z
34822,1,1,31802,female,guest,58,current,1,1,1,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34822,1,1,31802,female,guest,58,past,2,2,1,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34822,1,1,31802,female,guest,58,name,3,3,Lara,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34822,1,1,31802,female,guest,58,good,4,4,7,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34822,1,1,31802,female,guest,58,country,5,5,ZA,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34822,1,1,31802,female,guest,58,text,923,7,Mans best friend.,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34822,1,1,31802,female,guest,58,time,92823416,8,19:45,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34822,1,1,31802,female,guest,58,good_borzoi,355,6,97,2020-04-03T19:42:51Z,2020-04-03T19:45:27Z
34864,1,1,31820,male,guest,20,current,1,1,0,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
34864,1,1,31820,male,guest,20,past,2,2,0,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
34864,1,1,31820,male,guest,20,name,3,3,Pawpy,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
34864,1,1,31820,male,guest,20,good,4,4,7,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
34864,1,1,31820,male,guest,20,country,5,5,CX,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
34864,1,1,31820,male,guest,20,text,923,7,Doggos are the best. Doggos ftw. #ILoveDogs #FloofWoof,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
34864,1,1,31820,male,guest,20,time,92823416,8,19:10,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
34864,1,1,31820,male,guest,20,good_borzoi,355,6,100,2020-04-07T19:05:40Z,2020-04-07T19:07:13Z
35014,1,1,31921,female,student,39.2,current,1,1,1,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35014,1,1,31921,female,student,39.2,past,2,2,1,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35014,1,1,31921,female,student,39.2,name,3,3,Herbie,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35014,1,1,31921,female,student,39.2,good,4,4,7,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35014,1,1,31921,female,student,39.2,country,5,5,BY,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35014,1,1,31921,female,student,39.2,text,923,7,Dogs are awesome,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35014,1,1,31921,female,student,39.2,time,92823416,8,22:37,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35014,1,1,31921,female,student,39.2,good_borzoi,355,6,100,2020-04-15T22:35:55Z,2020-04-15T22:37:10Z
35147,1,1,31982,female,registered,50,current,1,1,0,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35147,1,1,31982,female,registered,50,past,2,2,1,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35147,1,1,31982,female,registered,50,name,3,3,Jock,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35147,1,1,31982,female,registered,50,good,4,4,7,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35147,1,1,31982,female,registered,50,country,5,5,DZ,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35147,1,1,31982,female,registered,50,text,923,7,True angels on earth.  Happy. Patient. Ever-loving. They see us as the true angels we are too.,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35147,1,1,31982,female,registered,50,time,92823416,8,15:10,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35147,1,1,31982,female,registered,50,good_borzoi,355,6,98,2020-04-22T15:15:04Z,2020-04-22T15:16:11Z
35245,1,1,32036,female,registered,24.8,current,1,1,1,2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35245,1,1,32036,female,registered,24.8,past,2,2,1,2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35245,1,1,32036,female,registered,24.8,name,3,3,Bobby,2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35245,1,1,32036,female,registered,24.8,good,4,4,3,2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35245,1,1,32036,female,registered,24.8,country,5,5,DE,2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35245,1,1,32036,female,registered,24.8,text,923,7,"I like dogs, as they are always happy when <ou come home. Taking the dog for a walk gives me a break. However, it takes time to take good care of the dog and make sure that they feel well and healthy.",2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35245,1,1,32036,female,registered,24.8,time,92823416,8,11:34,2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35245,1,1,32036,female,registered,24.8,good_borzoi,355,6,31,2020-04-23T10:33:08Z,2020-04-23T10:34:54Z
35313,1,1,32064,female,registered,34.1,current,1,1,0,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
35313,1,1,32064,female,registered,34.1,past,2,2,1,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
35313,1,1,32064,female,registered,34.1,name,3,3,Roland,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
35313,1,1,32064,female,registered,34.1,good,4,4,6,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
35313,1,1,32064,female,registered,34.1,country,5,5,DE,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
35313,1,1,32064,female,registered,34.1,text,923,7,They are a family dog,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
35313,1,1,32064,female,registered,34.1,time,92823416,8,17:54,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
35313,1,1,32064,female,registered,34.1,good_borzoi,355,6,68,2020-04-24T17:50:47Z,2020-04-24T17:54:42Z
36691,1,1,33332,female,registered,35.8,current,1,1,1,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
36691,1,1,33332,female,registered,35.8,past,2,2,1,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
36691,1,1,33332,female,registered,35.8,name,3,3,Onesyllable,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
36691,1,1,33332,female,registered,35.8,good,4,4,7,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
36691,1,1,33332,female,registered,35.8,country,5,5,FR,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
36691,1,1,33332,female,registered,35.8,text,923,7,Don't know anything about borzois but border collies are awesome!,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
36691,1,1,33332,female,registered,35.8,time,92823416,8,17:16,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
36691,1,1,33332,female,registered,35.8,good_borzoi,355,6,49,2020-05-18T17:15:44Z,2020-05-18T17:17:02Z
37104,1,1,33762,male,guest,21.7,current,1,1,0,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
37104,1,1,33762,male,guest,21.7,past,2,2,0,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
37104,1,1,33762,male,guest,21.7,name,3,3,Alice,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
37104,1,1,33762,male,guest,21.7,good,4,4,7,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
37104,1,1,33762,male,guest,21.7,country,5,5,BE,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
37104,1,1,33762,male,guest,21.7,text,923,7,They will always stand by you and remain loyal,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
37104,1,1,33762,male,guest,21.7,time,92823416,8,21:55,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
37104,1,1,33762,male,guest,21.7,good_borzoi,355,6,100,2020-05-28T21:55:32Z,2020-05-28T21:56:25Z
38386,1,1,35030,male,guest,23.8,current,1,1,1,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
38386,1,1,35030,male,guest,23.8,past,2,2,1,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
38386,1,1,35030,male,guest,23.8,name,3,3,Ben,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
38386,1,1,35030,male,guest,23.8,good,4,4,7,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
38386,1,1,35030,male,guest,23.8,country,5,5,NULL,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
38386,1,1,35030,male,guest,23.8,text,923,7,NA,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
38386,1,1,35030,male,guest,23.8,time,92823416,8,23:58,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
38386,1,1,35030,male,guest,23.8,good_borzoi,355,6,0,2020-06-13T15:57:33Z,2020-06-13T15:58:15Z
39495,1,1,36083,female,guest,79,current,1,1,0,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39495,1,1,36083,female,guest,79,past,2,2,1,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39495,1,1,36083,female,guest,79,name,3,3,Doggy,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39495,1,1,36083,female,guest,79,good,4,4,7,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39495,1,1,36083,female,guest,79,country,5,5,AF,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39495,1,1,36083,female,guest,79,text,923,7,Dogs are clever great sniffers out of stuff. I e medical detection dogs.  Wow. Mans best friend faithful cuddly. I adore dogs.,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39495,1,1,36083,female,guest,79,time,92823416,8,14:10,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39495,1,1,36083,female,guest,79,good_borzoi,355,6,44,2020-06-28T14:03:19Z,2020-06-28T14:06:00Z
39723,1,1,36318,female,guest,24,current,1,1,0,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39723,1,1,36318,female,guest,24,past,2,2,1,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39723,1,1,36318,female,guest,24,name,3,3,timo,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39723,1,1,36318,female,guest,24,good,4,4,1,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39723,1,1,36318,female,guest,24,country,5,5,RU,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39723,1,1,36318,female,guest,24,text,923,7,cute,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39723,1,1,36318,female,guest,24,time,92823416,8,19:34,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39723,1,1,36318,female,guest,24,good_borzoi,355,6,0,2020-07-06T12:31:26Z,2020-07-06T12:35:34Z
39937,1,1,36547,male,registered,20.6,current,1,1,0,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39937,1,1,36547,male,registered,20.6,past,2,2,1,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39937,1,1,36547,male,registered,20.6,name,3,3,little back,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39937,1,1,36547,male,registered,20.6,good,4,4,3,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39937,1,1,36547,male,registered,20.6,country,5,5,VG,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39937,1,1,36547,male,registered,20.6,text,923,7,no,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39937,1,1,36547,male,registered,20.6,time,92823416,8,14:24,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39937,1,1,36547,male,registered,20.6,good_borzoi,355,6,29,2020-07-16T15:11:19Z,2020-07-16T15:13:01Z
39943,1,1,36550,male,registered,23.8,current,1,1,1,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
39943,1,1,36550,male,registered,23.8,past,2,2,0,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
39943,1,1,36550,male,registered,23.8,name,3,3,hali,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
39943,1,1,36550,male,registered,23.8,good,4,4,7,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
39943,1,1,36550,male,registered,23.8,country,5,5,CN,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
39943,1,1,36550,male,registered,23.8,text,923,7,straightforward,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
39943,1,1,36550,male,registered,23.8,time,92823416,8,22:28,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
39943,1,1,36550,male,registered,23.8,good_borzoi,355,6,100,2020-07-16T15:27:26Z,2020-07-16T15:29:49Z
40117,1,1,36664,female,registered,29,current,1,1,1,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40117,1,1,36664,female,registered,29,past,2,2,1,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40117,1,1,36664,female,registered,29,name,3,3,Empathy,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40117,1,1,36664,female,registered,29,good,4,4,7,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40117,1,1,36664,female,registered,29,country,5,5,AF,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40117,1,1,36664,female,registered,29,text,923,7,They are understanding and love you unconditionally. Getting my pup is the best thing that's ever happened to me.,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40117,1,1,36664,female,registered,29,time,92823416,8,19:47,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40117,1,1,36664,female,registered,29,good_borzoi,355,6,100,2020-07-23T19:47:00Z,2020-07-23T19:47:53Z
40063,1,1,36671,female,registered,19.1,current,1,1,0,2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40063,1,1,36671,female,registered,19.1,past,2,2,0,2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40063,1,1,36671,female,registered,19.1,name,3,3,aero,2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40063,1,1,36671,female,registered,19.1,good,4,4,7,2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40063,1,1,36671,female,registered,19.1,country,5,5,AR,2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40063,1,1,36671,female,registered,19.1,text,923,7,dogs are beautiful and cute and lovely and i love having them as pets but often i think about how it would be to live as a pet in someones house it the thought makes me sad? but also i feel like if we give them enough freedom and love them enough it should be fine? idk :)),2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40063,1,1,36671,female,registered,19.1,time,92823416,8,11:51,2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40063,1,1,36671,female,registered,19.1,good_borzoi,355,6,100,2020-07-22T19:19:54Z,2020-07-22T19:21:36Z
40443,1,1,37005,female,guest,23,current,1,1,1,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40443,1,1,37005,female,guest,23,past,2,2,1,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40443,1,1,37005,female,guest,23,name,3,3,Olive,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40443,1,1,37005,female,guest,23,good,4,4,7,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40443,1,1,37005,female,guest,23,country,5,5,CN,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40443,1,1,37005,female,guest,23,text,923,7,By nature dogs are good.,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40443,1,1,37005,female,guest,23,time,92823416,8,17:37,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40443,1,1,37005,female,guest,23,good_borzoi,355,6,48,2020-08-21T16:35:15Z,2020-08-21T16:37:51Z
40478,1,1,37033,male,guest,65,current,1,1,1,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
40478,1,1,37033,male,guest,65,past,2,2,1,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
40478,1,1,37033,male,guest,65,name,3,3,Here,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
40478,1,1,37033,male,guest,65,good,4,4,7,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
40478,1,1,37033,male,guest,65,country,5,5,RU,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
40478,1,1,37033,male,guest,65,text,923,7,A dog is truly a humans best friend.,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
40478,1,1,37033,male,guest,65,time,92823416,8,21:44,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
40478,1,1,37033,male,guest,65,good_borzoi,355,6,87,2020-08-24T21:37:03Z,2020-08-24T21:42:13Z
